"year","age_group","w","in_lf_w","rate"
2019,"16–24",37773436.0018,20721832.5188,54.8582144282891
2019,"25–54",126234224.9767,104230770.8277,82.5693434937622
2019,"55–64",42195893.9962,27607729.4237,65.4275257829263
2019,"65+",52333194.0025,10704335.6441,20.4541989995654
2024,"16–24",38879068.0053,21861217.6463,56.2287595045228
2024,"25–54",128517667.0051,107601168.5158,83.7248068870796
2024,"55–64",41321731.0057,27625049.0902,66.8535620794524
2024,"65+",59165723.9979,11771935.1662,19.8965454502303
