"state","wage","cost_index","adjusted"
"Missouri",15,88.2,17.0068027210884
"Nebraska",15,90.1,16.6481687014428
"Connecticut",16.94,103.6,16.3513513513514
"Illinois",15,94.5,15.8730158730159
"Delaware",15,100.6,14.9105367793241
"Michigan",13.73,92.1,14.9077090119435
"Washington",17.13,115.1,14.8827106863597
"Colorado",15.16,102.7,14.761441090555
"Rhode Island",16,110.9,14.4274120829576
"Arizona",15.15,108.6,13.9502762430939
