"year","age_group","men_rate","women_rate","gap_pp"
2019,"16–24",55.3125016672023,54.398791380576,0.913710286626369
2019,"25–54",89.8243994843486,75.5074205229463,14.3169789614022
2019,"55–64",71.2565377055679,60.0190703930162,11.2374673125517
2019,"65+",24.5097912016184,17.1564773997849,7.3533138018335
2024,"16–24",56.7566048097744,55.692096419284,1.06450839049038
2024,"25–54",89.3255289088054,78.1962036303386,11.1293252784668
2024,"55–64",72.2748160559681,61.6714905782043,10.6033254777638
2024,"65+",23.984883902972,16.4724694956899,7.51241440728214
