"age_group","sex","rate_2019","rate_2024","change_pp"
"16–24","Men",55.3125016672023,56.7566048097744,1.44410314257205
"16–24","Women",54.398791380576,55.692096419284,1.29330503870804
"25–54","Men",89.8243994843486,89.3255289088054,-0.498870575543208
"25–54","Women",75.5074205229463,78.1962036303386,2.68878310739224
"55–64","Men",71.2565377055679,72.2748160559681,1.01827835040025
"55–64","Women",60.0190703930162,61.6714905782043,1.65242018518815
"65+","Men",24.5097912016184,23.984883902972,-0.524907298646369
"65+","Women",17.1564773997849,16.4724694956899,-0.684007904095004
